idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
58869;1.0;1.0;DE;3.0;8.0;4.0;5.0;0;1.0;3.0;49.0;10.0;10.0;10.0;7.0;7.0;1;1
58884;1.0;1.0;DE;6.0;9.0;6.0;5.0;1;1.0;2.0;39.0;7.0;6.0;8.0;3.0;4.0;1;1
58890;3.0;1.0;DE;6.0;10.0;3.0;5.0;0;1.0;4.0;67.0;3.0;7.0;7.0;3.0;3.0;1;0
58897;1.0;1.0;DE;3.0;4.0;3.0;4.0;0;5.0;4.0;68.0;4.0;6.0;6.0;0.0;0.0;1;1
58913;1.0;1.0;DE;5.0;7.0;2.0;5.0;0;1.0;4.0;79.0;5.0;8.0;8.0;2.0;3.0;1;1
58936;3.0;1.0;DE;2.0;7.0;2.0;5.0;0;6.0;1.0;20.0;5.0;7.0;9.0;4.0;4.0;1;0
58956;1.0;1.0;DE;2.0;7.0;4.0;5.0;1;6.0;2.0;17.0;7.0;7.0;7.0;8.0;5.0;1;1
58984;1.0;1.0;DE;5.0;2.0;1.0;3.0;1;4.0;3.0;74.0;10.0;7.0;9.0;8.0;8.0;1;1
58985;3.0;1.0;DE;5.0;8.0;3.0;5.0;0;1.0;4.0;50.0;1.0;8.0;6.0;1.0;1.0;1;0
58999;1.0;1.0;DE;7.0;10.0;4.0;5.0;1;1.0;4.0;37.0;5.0;7.0;8.0;4.0;3.0;1;1
59062;1.0;1.0;DE;3.0;8.0;3.0;5.0;0;6.0;4.0;23.0;0.0;10.0;10.0;0.0;3.0;1;1
59065;1.0;2.0;DE;1.0;5.0;4.0;5.0;0;6.0;3.0;16.0;7.0;7.0;5.0;5.0;7.0;0;1
59069;1.0;1.0;DE;4.0;5.0;3.0;5.0;0;6.0;2.0;32.0;8.0;9.0;5.0;6.0;5.0;1;1
59095;3.0;1.0;DE;1.0;2.0;2.0;5.0;0;1.0;3.0;64.0;0.0;0.0;10.0;0.0;0.0;1;0
