idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
59155;3.0;1.0;FR;5.0;6.0;2.0;5.0;0;6.0;1.0;28.0;8.0;8.0;7.0;6.0;7.0;1;0
59179;1.0;2.0;FR;4.0;4.0;2.0;4.0;1;4.0;4.0;69.0;4.0;5.0;7.0;6.0;4.0;0;1
59193;1.0;1.0;FR;3.0;3.0;2.0;4.0;1;1.0;4.0;70.0;0.0;1.0;2.0;0.0;0.0;1;1
59214;1.0;1.0;FR;2.0;6.0;2.0;2.0;0;1.0;4.0;81.0;4.0;4.0;8.0;2.0;2.0;1;1
59218;1.0;1.0;FR;7.0;10.0;5.0;5.0;0;6.0;3.0;26.0;7.0;5.0;6.0;8.0;7.0;1;1
59223;1.0;1.0;FR;7.0;8.0;2.0;5.0;1;6.0;3.0;25.0;5.0;6.0;6.0;3.0;3.0;1;1
59228;3.0;1.0;FR;2.0;6.0;2.0;5.0;0;6.0;2.0;17.0;9.0;9.0;8.0;6.0;6.0;1;0
59231;1.0;1.0;FR;3.0;8.0;4.0;5.0;1;6.0;5.0;49.0;2.0;0.0;3.0;3.0;3.0;1;1
59274;3.0;1.0;FR;5.0;8.0;1.0;5.0;0;1.0;4.0;60.0;8.0;8.0;9.0;8.0;7.0;1;0
59287;1.0;1.0;FR;3.0;4.0;2.0;5.0;1;1.0;4.0;62.0;5.0;7.0;8.0;6.0;5.0;1;1
59313;3.0;1.0;FR;2.0;6.0;4.0;5.0;0;6.0;2.0;17.0;5.0;3.0;4.0;3.0;3.0;1;0
59319;3.0;1.0;FR;4.0;7.0;2.0;5.0;0;6.0;5.0;28.0;7.0;6.0;3.0;3.0;2.0;1;0
59335;3.0;1.0;FR;2.0;7.0;1.0;5.0;1;5.0;3.0;78.0;0.0;5.0;8.0;2.0;2.0;1;0
59362;1.0;2.0;FR;4.0;2.0;1.0;5.0;0;6.0;3.0;19.0;3.0;7.0;7.0;2.0;2.0;0;1
59399;1.0;1.0;FR;5.0;9.0;3.0;5.0;1;6.0;2.0;26.0;6.0;7.0;8.0;5.0;5.0;1;1
59406;1.0;2.0;FR;6.0;8.0;3.0;5.0;0;1.0;4.0;34.0;2.0;5.0;8.0;2.0;2.0;0;1
59426;3.0;2.0;FR;4.0;6.0;5.0;5.0;1;6.0;2.0;34.0;4.0;1.0;5.0;3.0;3.0;0;0
59430;1.0;1.0;FR;7.0;10.0;3.0;5.0;1;1.0;1.0;34.0;8.0;9.0;8.0;7.0;7.0;1;1
59435;1.0;1.0;FR;3.0;6.0;2.0;5.0;0;1.0;4.0;71.0;1.0;5.0;7.0;3.0;2.0;1;1
59503;3.0;1.0;FR;6.0;10.0;4.0;5.0;0;1.0;4.0;39.0;4.0;7.0;9.0;5.0;5.0;1;0
59528;1.0;2.0;FR;2.0;6.0;6.0;5.0;1;6.0;4.0;16.0;5.0;2.0;4.0;5.0;5.0;0;1
59555;1.0;2.0;FR;3.0;5.0;2.0;2.0;0;1.0;5.0;68.0;5.0;2.0;9.0;5.0;2.0;0;1
59585;3.0;1.0;FR;7.0;10.0;2.0;5.0;1;1.0;1.0;63.0;4.0;5.0;5.0;3.0;3.0;1;0
59599;1.0;1.0;FR;5.0;5.0;2.0;5.0;1;6.0;4.0;51.0;7.0;8.0;8.0;8.0;6.0;1;1
59615;1.0;1.0;FR;4.0;8.0;2.0;5.0;1;1.0;2.0;56.0;6.0;6.0;7.0;5.0;5.0;1;1
