idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
70325;1.0;1.0;IT;2.0;3.0;5.0;2.0;0;1.0;4.0;41.0;1.0;3.0;5.0;3.0;1.0;1;1
70334;1.0;1.0;IT;7.0;4.0;1.0;5.0;1;6.0;3.0;58.0;8.0;5.0;8.0;6.0;6.0;1;1
70339;3.0;1.0;IT;2.0;4.0;4.0;5.0;0;1.0;4.0;46.0;5.0;6.0;7.0;4.0;3.0;1;0
70343;3.0;2.0;IT;4.0;5.0;4.0;4.0;1;6.0;4.0;22.0;7.0;8.0;8.0;7.0;7.0;0;0
70363;1.0;1.0;IT;4.0;7.0;3.0;4.0;0;1.0;4.0;61.0;7.0;6.0;7.0;4.0;6.0;1;1
70364;2.0;1.0;IT;4.0;6.0;2.0;5.0;1;6.0;1.0;25.0;2.0;4.0;4.0;2.0;1.0;1;1
70371;1.0;1.0;IT;6.0;5.0;4.0;5.0;0;1.0;3.0;47.0;3.0;6.0;7.0;4.0;3.0;1;1
70382;3.0;1.0;IT;2.0;9.0;5.0;3.0;0;1.0;4.0;45.0;6.0;7.0;9.0;5.0;4.0;1;0
70383;1.0;1.0;IT;2.0;3.0;2.0;4.0;0;1.0;3.0;58.0;4.0;8.0;7.0;4.0;4.0;1;1
70390;3.0;1.0;IT;2.0;5.0;3.0;4.0;1;1.0;4.0;45.0;3.0;5.0;6.0;1.0;0.0;1;0
70395;1.0;1.0;IT;2.0;3.0;1.0;2.0;0;1.0;4.0;75.0;3.0;6.0;6.0;5.0;5.0;1;1
70410;1.0;1.0;IT;7.0;10.0;3.0;5.0;0;6.0;3.0;25.0;6.0;6.0;7.0;5.0;5.0;1;1
70419;1.0;1.0;IT;4.0;5.0;1.0;4.0;1;5.0;4.0;60.0;7.0;7.0;10.0;6.0;3.0;1;1
70426;1.0;1.0;IT;4.0;3.0;1.0;4.0;1;4.0;4.0;42.0;6.0;4.0;5.0;1.0;1.0;1;1
70472;3.0;1.0;IT;4.0;8.0;3.0;4.0;1;1.0;3.0;50.0;3.0;1.0;7.0;2.0;1.0;1;0
70477;3.0;1.0;IT;4.0;7.0;3.0;5.0;1;6.0;4.0;22.0;6.0;6.0;9.0;3.0;4.0;1;0
70504;1.0;1.0;IT;2.0;5.0;1.0;5.0;0;4.0;3.0;58.0;2.0;2.0;5.0;1.0;1.0;1;1
70515;1.0;1.0;IT;4.0;8.0;3.0;5.0;1;1.0;1.0;50.0;5.0;8.0;8.0;4.0;3.0;1;1
70536;1.0;1.0;IT;2.0;4.0;2.0;3.0;1;1.0;3.0;60.0;8.0;5.0;7.0;5.0;3.0;1;1
70546;3.0;1.0;IT;2.0;3.0;5.0;5.0;0;6.0;4.0;37.0;0.0;0.0;6.0;0.0;0.0;1;0
70551;2.0;1.0;IT;2.0;2.0;1.0;3.0;1;6.0;2.0;51.0;3.0;6.0;7.0;0.0;0.0;1;1
70568;3.0;1.0;IT;4.0;7.0;3.0;5.0;0;1.0;4.0;49.0;3.0;7.0;6.0;1.0;1.0;1;0
70596;1.0;1.0;IT;2.0;5.0;4.0;5.0;0;1.0;3.0;54.0;8.0;8.0;9.0;4.0;2.0;1;1
70598;1.0;1.0;IT;2.0;5.0;3.0;1.0;1;1.0;4.0;76.0;5.0;7.0;8.0;5.0;6.0;1;1
70608;1.0;1.0;IT;2.0;4.0;3.0;2.0;0;6.0;3.0;48.0;4.0;7.0;7.0;3.0;3.0;1;1
70611;1.0;2.0;IT;2.0;5.0;1.0;4.0;0;6.0;3.0;43.0;0.0;0.0;0.0;0.0;0.0;0;1
70612;3.0;1.0;IT;2.0;5.0;2.0;1.0;1;1.0;4.0;83.0;2.0;3.0;5.0;0.0;2.0;1;0
70615;1.0;1.0;IT;7.0;8.0;3.0;5.0;1;6.0;3.0;33.0;6.0;6.0;7.0;5.0;6.0;1;1
70622;1.0;1.0;IT;4.0;7.0;2.0;5.0;0;1.0;4.0;63.0;5.0;6.0;6.0;5.0;5.0;1;1
70633;3.0;1.0;IT;4.0;2.0;3.0;5.0;1;4.0;4.0;57.0;7.0;7.0;8.0;6.0;6.0;1;0
70643;1.0;1.0;IT;5.0;3.0;4.0;5.0;0;6.0;1.0;37.0;4.0;7.0;7.0;4.0;4.0;1;1
70657;1.0;1.0;IT;4.0;5.0;3.0;3.0;1;1.0;4.0;62.0;6.0;4.0;7.0;0.0;6.0;1;1
70666;3.0;1.0;IT;4.0;9.0;3.0;5.0;0;1.0;3.0;37.0;4.0;10.0;10.0;2.0;2.0;1;0
70675;3.0;1.0;IT;1.0;5.0;2.0;5.0;1;1.0;4.0;64.0;6.0;5.0;9.0;4.0;4.0;1;0
70694;1.0;1.0;IT;2.0;3.0;2.0;2.0;0;1.0;4.0;67.0;4.0;3.0;8.0;2.0;2.0;1;1
70700;2.0;1.0;IT;4.0;5.0;4.0;5.0;0;1.0;1.0;66.0;6.0;8.0;9.0;3.0;4.0;1;1
70701;3.0;1.0;IT;2.0;5.0;4.0;5.0;0;6.0;3.0;17.0;6.0;6.0;8.0;6.0;6.0;1;0
70708;1.0;1.0;IT;2.0;5.0;2.0;3.0;1;1.0;2.0;65.0;0.0;0.0;6.0;4.0;0.0;1;1
70722;1.0;1.0;IT;1.0;6.0;3.0;1.0;1;1.0;4.0;71.0;5.0;7.0;10.0;2.0;2.0;1;1
70725;1.0;1.0;IT;4.0;8.0;2.0;5.0;1;1.0;3.0;47.0;5.0;5.0;5.0;4.0;4.0;1;1
70737;1.0;1.0;IT;2.0;2.0;1.0;5.0;1;6.0;3.0;51.0;4.0;5.0;7.0;4.0;3.0;1;1
70748;1.0;1.0;IT;4.0;8.0;2.0;5.0;0;1.0;3.0;53.0;6.0;6.0;6.0;6.0;6.0;1;1
70749;3.0;1.0;IT;2.0;4.0;1.0;5.0;1;6.0;4.0;63.0;4.0;6.0;7.0;4.0;4.0;1;0
70753;1.0;1.0;IT;7.0;8.0;2.0;5.0;1;1.0;3.0;73.0;5.0;8.0;9.0;4.0;4.0;1;1
70788;1.0;1.0;IT;2.0;4.0;5.0;4.0;0;6.0;1.0;61.0;4.0;7.0;8.0;4.0;4.0;1;1
70794;1.0;1.0;IT;4.0;3.0;1.0;5.0;1;4.0;3.0;46.0;0.0;0.0;4.0;0.0;0.0;1;1
70839;1.0;1.0;IT;4.0;8.0;2.0;4.0;0;1.0;1.0;60.0;5.0;7.0;8.0;4.0;3.0;1;1
70843;3.0;1.0;IT;4.0;7.0;2.0;5.0;1;1.0;3.0;31.0;5.0;7.0;7.0;6.0;6.0;1;0
70868;3.0;1.0;IT;3.0;3.0;1.0;3.0;0;4.0;3.0;73.0;5.0;4.0;8.0;4.0;5.0;1;0
70882;3.0;2.0;IT;5.0;8.0;3.0;5.0;0;6.0;2.0;20.0;2.0;3.0;5.0;2.0;2.0;0;0
70884;1.0;1.0;IT;4.0;5.0;2.0;5.0;1;1.0;4.0;58.0;6.0;9.0;9.0;6.0;5.0;1;1
70896;1.0;1.0;IT;1.0;6.0;2.0;1.0;1;1.0;3.0;83.0;7.0;7.0;9.0;3.0;2.0;1;1
70903;3.0;1.0;IT;4.0;3.0;1.0;5.0;1;6.0;3.0;32.0;5.0;6.0;7.0;5.0;5.0;1;0
70909;3.0;2.0;IT;2.0;5.0;2.0;1.0;0;1.0;3.0;77.0;5.0;5.0;5.0;5.0;5.0;0;0
70934;2.0;1.0;IT;4.0;4.0;2.0;2.0;1;1.0;4.0;49.0;4.0;6.0;7.0;4.0;3.0;1;1
70986;3.0;1.0;IT;2.0;5.0;4.0;5.0;0;6.0;4.0;17.0;4.0;0.0;7.0;0.0;0.0;1;0
