idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
78658;3.0;1.0;ES;5.0;5.0;3.0;5.0;0;1.0;4.0;68.0;5.0;4.0;7.0;0.0;4.0;1;0
78661;1.0;1.0;ES;6.0;7.0;4.0;5.0;1;1.0;3.0;43.0;6.0;3.0;8.0;6.0;6.0;1;1
78669;1.0;1.0;ES;7.0;9.0;2.0;5.0;0;1.0;3.0;59.0;9.0;9.0;9.0;8.0;8.0;1;1
78737;1.0;1.0;ES;4.0;5.0;2.0;5.0;1;6.0;3.0;18.0;4.0;4.0;5.0;2.0;2.0;1;1
78750;1.0;1.0;ES;2.0;4.0;2.0;5.0;1;6.0;4.0;29.0;6.0;5.0;7.0;5.0;5.0;1;1
78773;1.0;1.0;ES;6.0;9.0;3.0;5.0;1;4.0;4.0;58.0;5.0;6.0;8.0;3.0;3.0;1;1
78781;1.0;1.0;ES;7.0;10.0;4.0;5.0;1;6.0;3.0;23.0;4.0;3.0;3.0;2.0;2.0;1;1
78810;3.0;1.0;ES;2.0;3.0;3.0;5.0;0;4.0;3.0;59.0;10.0;8.0;10.0;7.0;7.0;1;0
78828;1.0;1.0;ES;1.0;9.0;4.0;5.0;0;1.0;4.0;35.0;3.0;8.0;10.0;0.0;0.0;1;1
78872;1.0;1.0;ES;3.0;5.0;3.0;5.0;0;6.0;2.0;26.0;6.0;5.0;8.0;5.0;6.0;1;1
78878;1.0;1.0;ES;7.0;9.0;2.0;5.0;1;1.0;4.0;54.0;4.0;8.0;8.0;4.0;4.0;1;1
78933;2.0;1.0;ES;5.0;5.0;4.0;5.0;0;1.0;3.0;49.0;8.0;8.0;8.0;8.0;8.0;1;1
78995;3.0;1.0;ES;1.0;8.0;2.0;5.0;1;4.0;1.0;29.0;0.0;6.0;10.0;0.0;0.0;1;0
79020;3.0;1.0;ES;6.0;6.0;3.0;4.0;1;1.0;1.0;43.0;1.0;1.0;6.0;3.0;3.0;1;0
79030;3.0;1.0;ES;2.0;3.0;7.0;5.0;0;1.0;1.0;54.0;4.0;7.0;9.0;6.0;7.0;1;0
79044;1.0;1.0;ES;7.0;5.0;4.0;5.0;1;6.0;2.0;46.0;3.0;5.0;8.0;0.0;0.0;1;1
79071;1.0;1.0;ES;3.0;5.0;3.0;5.0;1;1.0;3.0;42.0;5.0;8.0;8.0;5.0;5.0;1;1
79076;3.0;1.0;ES;5.0;5.0;2.0;3.0;0;1.0;4.0;72.0;7.0;7.0;8.0;5.0;5.0;1;0
79152;1.0;1.0;ES;5.0;4.0;4.0;5.0;0;1.0;4.0;50.0;6.0;4.0;7.0;1.0;2.0;1;1
79175;3.0;1.0;ES;1.0;3.0;1.0;5.0;0;4.0;1.0;50.0;8.0;5.0;7.0;0.0;0.0;1;0
79211;1.0;1.0;ES;1.0;5.0;3.0;5.0;1;1.0;4.0;51.0;5.0;6.0;8.0;4.0;6.0;1;1
79244;3.0;1.0;ES;1.0;8.0;5.0;1.0;0;1.0;4.0;56.0;3.0;5.0;9.0;0.0;0.0;1;0
79257;3.0;1.0;ES;2.0;6.0;4.0;5.0;1;1.0;4.0;42.0;4.0;0.0;5.0;0.0;0.0;1;0
79288;3.0;1.0;ES;3.0;5.0;4.0;5.0;1;6.0;4.0;19.0;4.0;7.0;6.0;3.0;2.0;1;0
79309;1.0;1.0;ES;2.0;9.0;5.0;1.0;1;1.0;4.0;55.0;5.0;5.0;10.0;0.0;0.0;1;1
79363;1.0;1.0;ES;2.0;5.0;3.0;2.0;1;1.0;4.0;60.0;2.0;5.0;7.0;0.0;0.0;1;1
79373;1.0;1.0;ES;3.0;7.0;5.0;5.0;1;1.0;3.0;52.0;5.0;6.0;8.0;2.0;2.0;1;1
79376;1.0;1.0;ES;2.0;5.0;2.0;5.0;0;1.0;4.0;58.0;4.0;2.0;4.0;0.0;0.0;1;1
